gene,test_statistic
ENSG00000204478.9,0
ENSG00000162494.6,0.140301794057973
ENSG00000259961.1,0
ENSG00000215909.3,0
ENSG00000162493.16,144.798664428093
ENSG00000222952.1,0.140301794057973
ENSG00000237445.2,0
ENSG00000253085.1,0
ENSG00000116731.22,522.887884610259
ENSG00000189337.17,142.96512877516
ENSG00000252151.1,0
ENSG00000231606.2,0
ENSG00000234593.3,0.335865616785428
ENSG00000235829.1,1.79467937055419
ENSG00000287756.1,1.41528363938223
ENSG00000175147.13,0.140301794057973
ENSG00000171729.14,12.6491578981808
ENSG00000204464.7,0
ENSG00000215720.4,0
ENSG00000278480.1,0
ENSG00000142621.19,3.03524439419021
ENSG00000233485.1,0
ENSG00000236045.1,0.710333188344609
ENSG00000228140.2,0.274616457367763
ENSG00000142634.13,281.20725171663
ENSG00000162438.12,0.344254656496863
ENSG00000142615.8,0.140301794057973
ENSG00000215704.10,0.375457599976079
ENSG00000132906.18,41.079074558279
ENSG00000116138.13,240.832827226842
ENSG00000251866.1,0
ENSG00000272510.1,0
ENSG00000116771.6,15.2026165831577
ENSG00000237301.1,0.786371078892029
ENSG00000235084.3,10.1048322620004
ENSG00000252417.1,0
ENSG00000236500.1,0
ENSG00000197312.12,285.431430183577
ENSG00000215695.1,0
ENSG00000271742.1,0
ENSG00000116786.13,332.809357690099
ENSG00000237938.5,2.10684839322039
ENSG00000162461.8,2.70159556194246
ENSG00000224459.1,0.0394606514496569
ENSG00000162460.7,0.0503549054336612
ENSG00000162458.13,882.250113154267
ENSG00000224321.1,10.202567668464
ENSG00000233954.6,51.7733337864192
ENSG00000178715.8,26.439786570695
ENSG00000179743.4,5.51438154900581
ENSG00000065526.11,706.740906185858
ENSG00000270620.1,0.235155805918106
ENSG00000116809.11,80.1602080935974
ENSG00000234607.2,0.235155805918106
ENSG00000231353.1,0
ENSG00000275503.1,0
ENSG00000224966.4,0
ENSG00000183888.4,0
ENSG00000233078.1,0
ENSG00000173641.17,787.834305921364
ENSG00000186510.12,2.02222284337828
ENSG00000232456.1,0.10490433072304
ENSG00000184908.17,1.75558043398472
ENSG00000185519.9,1.33301901189263
ENSG00000142627.13,367.40798414501
ENSG00000227959.1,0.820029507458238
ENSG00000224621.1,0.719630468099554
ENSG00000234166.1,0
ENSG00000142632.17,32.7330014269059
ENSG00000237276.8,2.22893888126153
ENSG00000288398.1,18.8085690559982
ENSG00000132881.12,11.0633653076824
ENSG00000233929.1,1.4647946096948
ENSG00000037637.11,186.007508331439
ENSG00000055070.17,603.420723038427
ENSG00000226457.1,4.17536242416741
ENSG00000187144.11,1.04624513017537
ENSG00000157191.20,360.129447836529
ENSG00000226029.1,5.32244138162118
ENSG00000080947.15,21.4351226187861
ENSG00000206652.1,0.59816583173125
ENSG00000261135.1,0.140301794057973
ENSG00000285853.1,0
ENSG00000224174.2,0
ENSG00000233421.4,0.164973714377876
ENSG00000277344.1,0
ENSG00000225710.1,0
ENSG00000219481.10,137.142943648224
ENSG00000271732.1,0.344736159885506
ENSG00000215908.10,78.4864256024725
ENSG00000283773.1,0
ENSG00000186301.8,4.2676061154115
ENSG00000282143.1,0
ENSG00000207513.1,0
ENSG00000280114.1,0
ENSG00000236698.1,6.40017009503208
ENSG00000268869.6,0
ENSG00000279151.1,0
ENSG00000282740.1,0
ENSG00000058453.17,100.625951958055
ENSG00000227684.2,0
ENSG00000207389.1,0
ENSG00000186715.11,3.88475551793935
ENSG00000223643.6,0
ENSG00000230239.1,0
ENSG00000263811.1,0
ENSG00000228549.4,0.611562081665555
ENSG00000277234.1,0
ENSG00000238142.2,3.80527633203651
ENSG00000235241.1,0
ENSG00000207005.1,0.0789213028993138
ENSG00000272426.1,0.445577302493823
ENSG00000117122.14,244.480298785773
ENSG00000286898.1,0.0545494252893789
ENSG00000226526.1,0.897978590929417
ENSG00000159363.18,339.754784743978
ENSG00000117118.9,364.425341693947
ENSG00000117115.13,74.5738329356016
ENSG00000204362.6,9.01864715566187
ENSG00000282843.1,0
ENSG00000142623.11,12.3160541998561
ENSG00000142619.4,0.313233173696323
ENSG00000266634.1,0
ENSG00000159339.13,0
ENSG00000276747.1,0.140301794057973
ENSG00000227751.1,0
ENSG00000179051.14,815.776323949817
ENSG00000074964.17,164.031491929913
ENSG00000236648.2,0
ENSG00000117148.8,0.0503549054336612
ENSG00000284653.1,0
ENSG00000261781.1,0
ENSG00000117154.12,4.62995920391312
ENSG00000280222.1,1.12241435246379
ENSG00000230035.2,0
ENSG00000225387.1,0
ENSG00000179023.8,2.18374825647888
ENSG00000235282.3,0.0503549054336612
ENSG00000225478.2,0
ENSG00000009709.12,0
ENSG00000179002.5,0
ENSG00000159423.17,167.300173071469
ENSG00000265606.1,0
ENSG00000221662.1,0
ENSG00000169991.11,240.578706056558
ENSG00000272084.1,2.09399693093795
ENSG00000127481.15,1680.0962899679
ENSG00000230424.1,0.622125734241126
ENSG00000127463.15,754.731239574125
ENSG00000053372.5,213.614226347973
ENSG00000286064.1,1.79594501745662
ENSG00000211454.14,2.74370242207531
ENSG00000162482.5,2.61317587410207
ENSG00000270728.1,5.27375322997471
ENSG00000053371.12,174.387849601465
ENSG00000200403.1,0.17976244550763
